Student_ID,Group,Eng_Pre_Q1,Eng_Pre_Q2,Eng_Pre_Q3,Eng_Pre_Q4,Eng_Pre_Q5,Eng_Pre_Q6,Eng_Pre_Q7,Eng_Pre_Q8,Eng_Pre_Q9,Eng_Pre_Q10,Eng_Pre_Q11,Eng_Pre_Q12,Eng_Pre_Q13,Eng_Pre_Q14,Eng_Pre_Q15,Eng_Pre_Q16,Eng_Pre_Q17,Eng_Pre_Q18,Eng_Post_Q1,Eng_Post_Q2,Eng_Post_Q3,Eng_Post_Q4,Eng_Post_Q5,Eng_Post_Q6,Eng_Post_Q7,Eng_Post_Q8,Eng_Post_Q9,Eng_Post_Q10,Eng_Post_Q11,Eng_Post_Q12,Eng_Post_Q13,Eng_Post_Q14,Eng_Post_Q15,Eng_Post_Q16,Eng_Post_Q17,Eng_Post_Q18,SDL_Pre_Q1,SDL_Pre_Q2,SDL_Pre_Q3,SDL_Pre_Q4,SDL_Pre_Q5,SDL_Pre_Q6,SDL_Pre_Q7,SDL_Pre_Q8,SDL_Pre_Q9,SDL_Pre_Q10,SDL_Pre_Q11,SDL_Pre_Q12,SDL_Pre_Q13,SDL_Pre_Q14,SDL_Pre_Q15,SDL_Post_Q1,SDL_Post_Q2,SDL_Post_Q3,SDL_Post_Q4,SDL_Post_Q5,SDL_Post_Q6,SDL_Post_Q7,SDL_Post_Q8,SDL_Post_Q9,SDL_Post_Q10,SDL_Post_Q11,SDL_Post_Q12,SDL_Post_Q13,SDL_Post_Q14,SDL_Post_Q15,Spk_Pre_Fluency,Spk_Pre_Accuracy,Spk_Pre_Interaction,Spk_Pre_Content,Spk_Post_Fluency,Spk_Post_Accuracy,Spk_Post_Interaction,Spk_Post_Content
C08,Control,4,5,7,8,6,7,7,5,5,6,6,4,3,7,3,7,7,3,4,4,6,4,8,6,5,5,9,8,7,7,4,5,8,5,5,5,4,4,5,3,2,4,4,5,3,5,4,2,5,5,2,5,3,6,6,4,6,6,3,3,7,4,3,6,4,4,3,2,2,4,5,3,3,3
C09,Control,8,4,7,8,8,5,6,7,4,7,6,4,6,8,8,5,3,4,4,3,4,5,5,4,6,3,5,4,4,6,6,3,6,4,6,2,4,3,3,4,8,3,5,5,5,8,5,5,6,4,6,7,5,5,4,7,8,7,4,4,8,6,3,5,6,3,1,4,3,5,4,3,2,4
C10,Control,4,6,3,8,7,6,5,8,6,7,6,7,3,3,5,7,5,5,7,4,8,8,4,4,4,4,5,6,7,8,8,5,5,4,6,4,5,5,6,4,6,6,7,5,7,7,5,3,8,7,6,8,7,9,6,5,8,7,5,4,6,4,6,5,7,7,4,4,3,4,2,5,3,3
C11,Control,5,8,4,9,5,9,6,8,7,5,6,4,4,4,5,5,9,4,4,6,5,3,3,5,5,6,5,3,6,5,4,5,4,4,6,5,8,9,8,5,7,5,5,5,4,3,5,6,7,5,6,3,6,7,4,3,3,5,7,3,7,4,5,4,6,4,2,2,4,4,3,4,5,5
C12,Control,5,3,8,4,5,4,6,4,6,5,6,7,6,3,6,7,5,4,8,9,4,6,7,8,9,3,6,9,5,5,4,8,4,4,5,8,4,4,6,4,5,4,4,5,5,6,5,6,7,3,5,8,6,7,5,6,9,6,8,4,6,6,6,8,7,4,4,4,5,4,4,3,3,4
C13,Control,8,7,9,7,4,4,4,6,5,6,9,9,8,9,9,8,5,4,2,4,4,4,3,5,6,6,5,2,4,6,5,4,4,3,5,4,5,4,4,5,3,4,5,3,4,5,5,5,4,4,3,4,6,8,4,5,4,9,4,5,5,5,5,7,8,5,4,4,4,4,4,2,4,4
C14,Control,5,6,3,4,6,4,4,6,8,3,4,5,5,6,4,2,6,3,5,3,4,4,7,4,5,4,4,3,3,6,5,7,3,3,6,5,2,3,4,5,3,6,6,4,5,5,6,2,3,6,6,4,5,7,4,5,9,5,6,7,5,7,5,7,4,6,1,4,3,4,3,1,3,2
C15,Control,3,4,4,7,5,4,3,4,4,3,3,8,8,4,4,6,7,5,8,3,5,7,4,6,8,8,3,5,8,7,4,6,5,3,8,7,9,7,7,5,4,7,5,6,4,9,7,7,4,7,8,4,3,5,4,3,2,6,5,5,4,4,3,6,6,4,4,4,2,2,2,4,3,3
C16,Control,3,5,6,3,7,5,6,4,5,4,5,6,7,7,5,4,7,6,4,4,4,6,5,3,8,9,5,8,3,8,3,7,5,5,9,8,8,3,5,8,3,4,8,4,6,4,5,6,4,7,7,4,5,5,7,9,8,5,7,6,7,9,5,6,8,4,4,4,3,3,2,4,4,3
C17,Control,5,3,5,4,3,3,4,6,6,3,4,2,3,6,4,7,4,7,8,9,9,9,5,9,4,9,9,5,4,6,6,4,8,9,5,8,4,5,4,3,4,7,7,7,3,7,6,7,5,5,7,8,6,6,8,6,5,5,3,6,6,7,8,7,7,7,3,4,5,4,3,4,4,3
C18,Control,7,5,5,3,6,4,5,4,3,3,4,4,6,7,7,7,7,3,7,4,6,4,9,8,7,4,7,7,8,5,6,4,6,7,5,8,3,3,5,3,6,5,6,6,7,8,8,7,6,3,6,6,4,5,4,8,8,4,3,8,9,7,7,5,3,7,3,4,3,3,3,4,2,4
